baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
AEBP1 (ENSG00000106624)	379.2162214	-6.757864621	0.911766229	-7.411839141	1.25E-13	3.19E-09
UBE2QL1 (ENSG00000215218)	218.2915572	-7.205111734	1.025729324	-7.024379204	2.15E-12	2.75E-08
RELN (ENSG00000189056)	2153.883966	-7.941017678	1.211411002	-6.555180415	5.56E-11	4.74E-07
DDX43 (ENSG00000080007)	86.60748868	-7.628604251	1.198073997	-6.367389885	1.92E-10	1.23E-06
LAMP5 (ENSG00000125869)	225.042923	-8.857209618	1.429637474	-6.195423511	5.81E-10	2.98E-06
INHBA (ENSG00000122641)	5280.645728	-7.323801091	1.191063885	-6.148957401	7.80E-10	3.33E-06
ANPEP (ENSG00000166825)	2436.711354	-6.536664879	1.076864055	-6.070092925	1.28E-09	4.68E-06
NLRP2 (ENSG00000022556)	1283.350436	9.07594888	1.509257914	6.013517501	1.82E-09	5.38E-06
AC010615.2 (ENSG00000268119)	63.94995783	-6.028518998	1.003610487	-6.006831414	1.89E-09	5.38E-06
ARPP21 (ENSG00000172995)	32.16088607	-6.432641426	1.088773086	-5.90815617	3.46E-09	8.86E-06
SHISA9 (ENSG00000237515)	199.6525364	-6.004562314	1.020658105	-5.88303006	4.03E-09	9.38E-06
PLPPR5 (ENSG00000117598)	269.6354069	-9.052360056	1.549851987	-5.840790043	5.20E-09	1.11E-05
PEG3 (ENSG00000198300)	132.7536688	-7.545148758	1.308129913	-5.767889475	8.03E-09	1.58E-05
MYOM3 (ENSG00000142661)	455.133625	7.593401826	1.322718845	5.740752736	9.43E-09	1.72E-05
ST6GAL2 (ENSG00000144057)	122.4788508	-7.877054182	1.378991089	-5.712186426	1.12E-08	1.90E-05
DLK1 (ENSG00000185559)	1884.735736	-11.80046671	2.080468785	-5.672022955	1.41E-08	2.26E-05
LINC01619 (ENSG00000257242)	35.93592221	-2.937844453	0.523985941	-5.606723814	2.06E-08	3.11E-05
CHRM2 (ENSG00000181072)	72.44247077	-7.538312308	1.351019283	-5.579722217	2.41E-08	3.43E-05
TPTE (ENSG00000274391)	44.58776874	-7.447003372	1.344255696	-5.539871168	3.03E-08	4.08E-05
AP002784.1 (ENSG00000250519)	44.21252206	-3.64435063	0.668775436	-5.449289003	5.06E-08	6.47E-05
SLC6A11 (ENSG00000132164)	238.3869072	-8.476674564	1.568456401	-5.404469363	6.50E-08	7.56E-05
CADPS (ENSG00000163618)	105.5517193	-6.462387167	1.194062217	-5.412102549	6.23E-08	7.56E-05
PNMA3 (ENSG00000183837)	164.2429908	-7.315061792	1.365501997	-5.357049501	8.46E-08	9.42E-05
RET (ENSG00000165731)	2198.723791	-8.110870251	1.525108571	-5.318224816	1.05E-07	0.000111779
ABCD2 (ENSG00000173208)	288.986132	-7.728880369	1.458286501	-5.299973884	1.16E-07	0.000118608
SULF1 (ENSG00000137573)	428.2207594	-7.481606614	1.417153431	-5.279320116	1.30E-07	0.000127024
FAM135B (ENSG00000147724)	21.87152289	-7.130849521	1.352244359	-5.273343884	1.34E-07	0.000127024
ADCY5 (ENSG00000173175)	428.0902352	-5.29528039	1.006633051	-5.260387966	1.44E-07	0.00013144
